,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,new_deaths_log,new_cases_log
364,10324463.0,66588.0,49388.0,249957.0,1428.0,1123.857,48572.129,313.268,232.34900000000002,1175.9389999999999,6.718,5.287000000000001,1.08,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1547282074401557,4.823395970861791
365,10390461.0,65998.0,51405.0,251498.0,1541.0,1148.714,48882.621,310.492,241.838,1183.1889999999999,7.25,5.404,1.09,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1878026387184195,4.819530774903619
366,10455630.0,65169.0,53060.28599999999,252835.0,1337.0,1156.857,49189.212999999996,306.592,249.62599999999998,1189.479,6.29,5.443,1.09,76.39,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1261314072619846,4.814041056919891
367,10517232.0,61602.0,54012.0,254221.0,1386.0,1177.714,49479.024000000005,289.811,254.10299999999998,1196.0,6.521,5.541,1.1,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.141763230275788,4.789594812405718
368,10551259.0,34027.0,54726.429000000004,254942.0,721.0,1205.4289999999999,49639.106,160.082,257.464,1199.392,3.392,5.671,1.1,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,2.857935264719429,4.531823661088799
369,10587001.0,35742.0,55977.28599999999,255720.0,778.0,1225.286,49807.255999999994,168.15099999999998,263.349,1203.052,3.66,5.763999999999999,1.1,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,2.890979596989689,4.553178850482488
370,10646926.0,59925.0,55578.71400000001,257361.0,1641.0,1261.714,50089.178,281.921,261.474,1210.772,7.72,5.936,1.1,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.215108581053093,4.777608042705691
371,10718630.0,71704.0,56309.570999999996,259271.0,1910.0,1330.5710000000001,50426.514,337.336,264.91200000000003,1219.758,8.986,6.26,1.11,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.2810333672477277,4.855543383414977
372,10793732.0,75102.0,57610.143,260970.0,1699.0,1353.1429999999998,50779.835999999996,353.32199999999995,271.031,1227.751,7.992999999999999,6.3660000000000005,1.11,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.230193378869046,4.87565150261533
373,10869227.0,75495.0,59085.28599999999,262770.0,1800.0,1419.286,51135.008,355.171,277.971,1236.219,8.468,6.6770000000000005,1.12,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.255272505103306,4.877918189452821
